"Main","Day","TotalVol"
" RUNNYMEDE RD ","Thursday",7913
" CORPORATE DR ","Wednesday",7907
" LOWER SIMCOE ST ","Monday",7826
" MEADOWVALE RD ","Sunday",7809
" OAKDALE RD ","Tuesday",7787
" BELFIELD RD ","Wednesday",7702
" HUMBER COLLEGE BLVD ","Monday",7671
" SENTINEL RD ","Thursday",7664
" MILNER AVE ","Wednesday",7569
" THE DONWAY W ","Tuesday",7564
" THE EAST MALL ","Wednesday",7499
" RIVER ST ","Monday",7494
" LANSDOWNE AVE ","Thursday",7372
" WILLIAM KITCHEN RD ","Monday",7317
" INGRAM DR ","Thursday",7307
" BELLAMY RD N ","Monday",7253
" KING ST E ","Monday",7221
" WINDERMERE AVE ","Thursday",7122
" GATEWAY BLVD ","Monday",7117
" CARLTON ST ","Tuesday",7115
" COMSTOCK RD ","Monday",7062
" BREMNER BLVD ","Monday",7045
" DUPLEX AVE ","Monday",7033
" ATTWELL DR ","Monday",6998
" ST DENNIS DR ","Tuesday",6903
" WARDEN AVE ","Thursday",6878
" HORNER AVE ","Wednesday",6876
" QUEENS QUAY E ","Wednesday",6859
" VAUGHAN RD ","Wednesday",6836
" TAPSCOTT RD ","Monday",6827
" MCCOWAN RD ","Tuesday",6698
" SIGNET DR ","Tuesday",6679
" POYNTZ AVE ","Tuesday",6514
" BONIS AVE ","Thursday",6411
" QUEENS PLATE DR ","Thursday",6407
" MCLEVIN AVE ","Wednesday",6237
" CORPORATE DR ","Monday",6232
" SIGNET DR ","Wednesday",6206
" SCARBOROUGH GOLF CLUB RD ","Tuesday",6204
" VAUGHAN RD ","Tuesday",6161
" OLD KINGSTON RD ","Wednesday",6155
" MEADOWVALE RD ","Tuesday",6129
" MILNER AVE ","Monday",6126
" RICHMOND ST W ","Monday",5992
" LUMSDEN AVE ","Tuesday",5969
" MORTIMER AVE ","Monday",5963
" SEWELLS RD ","Wednesday",5907
" RANEE AVE ","Wednesday",5900
" BRITISH COLUMBIA RD ","Tuesday",5861
" LUMSDEN AVE ","Wednesday",5832
" MILLWOOD RD ","Tuesday",5787
" BRIDLETOWNE CRCL ","Wednesday",5659
" BELLAMY RD N ","Thursday",5442
" SCARBOROUGH GOLF CLUB RD ","Thursday",5405
" KING ST E ","Thursday",5363
" COMMISSIONERS ST ","Monday",5337
" LEBOVIC AVE ","Thursday",5276
" OLD KINGSTON RD ","Monday",5017
" RANEE AVE ","Monday",5002
" TALBOT RD ","Tuesday",4998
" FAIRVIEW MALL DR ","Monday",4893
" COMMISSIONERS ST ","Wednesday",4771
" CARLINGVIEW DR ","Saturday",4742
" TORO RD ","Wednesday",4682
" GRANTBROOK ST ","Wednesday",4523
" BAMBURGH CRCL ","Monday",4460
" GUNNS RD ","Wednesday",4416
" DWIGHT AVE ","Wednesday",4301
" SANDHURST CRCL ","Tuesday",4253
" MURRAY ROSS PKWY ","Monday",3941
" ORTON PARK RD ","Thursday",3615
" SHAW ST ","Thursday",3555
" DWIGHT AVE ","Thursday",3551
" TANGIERS RD ","Thursday",3039
" BRENYON WAY ","Thursday",2831
" ZOO RD ","Sunday",1998
" PRINCES BLVD ","Tuesday",1518
" OLD FINCH AVE ","Thursday",1081
